 121, 105,  82
 126, 111,  87
 136, 121,  96
 127, 105,  78
 129, 103,  74
 138, 114,  80
 140, 117,  84
 147, 121,  86
 162, 138, 106
 145, 120,  87
 154, 131,  97
 148, 122,  88
 147, 126,  98
 161, 142, 112
 154, 130,  98
 138, 112,  79
 147, 120,  89
 164, 134, 100
 160, 132,  96
 143, 122,  92
 158, 133,  99
 159, 130,  93
 152, 128,  96
 146, 126,  95
 149, 130,  98
 153, 131,  97
 158, 134,  95
 146, 123,  87
 151, 130,  96
 136, 115,  85
 131, 110,  79
 153, 132,  99
 160, 138, 103
 142, 118,  87
 152, 125,  89
 153, 128,  92
 155, 131,  97
 140, 115,  84
 150, 127,  92
 149, 124,  89
 152, 132, 103
 146, 124,  92
 144, 121,  89
 150, 130, 101
 138, 117,  86
 138, 114,  84
 139, 114,  83
 135, 117,  90
 155, 134, 103
 146, 129, 101
 136, 114,  85
 137, 112,  83
 137, 116,  89
 147, 120,  88
 138, 118,  84
 138, 117,  84
 124, 104,  76
 117,  95,  64
 133, 111,  80
 125, 110,  82
 115,  94,  65
 120,  98,  69
 116,  99,  79
 123, 107,  87
 143, 127, 101
 138, 117,  88
 142, 117,  85
 156, 133,  97
 148, 124,  89
 150, 123,  88
 145, 122,  93
 157, 134, 102
 168, 142, 104
 144, 121,  90
 151, 128,  96
 150, 131, 103
 164, 141, 107
 150, 124,  92
 158, 133,  99
 154, 128,  92
 152, 126,  92
 137, 109,  79
 135, 111,  82
 158, 132, 102
 161, 136, 101
 159, 134,  99
 146, 123,  95
 149, 128, 100
 148, 124,  93
 134, 108,  74
 150, 128,  95
 148, 127,  96
 151, 128,  97
 149, 125,  94
 151, 132, 103
 149, 123,  88
 152, 126,  90
 153, 131,  97
 127, 104,  78
 149, 126,  93
 156, 135, 105
 135, 109,  79
 149, 127,  96
 154, 132,  98
 147, 125,  89
 148, 128,  98
 142, 119,  87
 145, 124,  90
 138, 116,  83
 144, 121,  89
 138, 117,  86
 137, 120,  94
 152, 130,  97
 157, 133, 100
 150, 130,  98
 144, 122,  88
 130, 109,  78
 149, 127,  92
 154, 128,  91
 138, 111,  73
 133, 109,  76
 114,  92,  64
 123, 101,  72
 120,  98,  64
 118,  99,  76
 124, 104,  84
 133, 109,  85
 153, 131, 104
 152, 131, 104
 159, 136, 103
 145, 117,  82
 150, 127,  92
 155, 131,  94
 157, 132,  95
 163, 135,  96
 150, 125,  89
 148, 124,  92
 152, 131, 102
 148, 125,  96
 164, 137,  99
 160, 136, 100
 144, 120,  87
 144, 113,  74
 150, 124,  89
 138, 114,  81
 138, 114,  85
 138, 114,  85
 150, 127,  96
 142, 117,  90
 143, 119,  91
 160, 133, 100
 152, 122,  88
 148, 120,  87
 156, 131,  98
 151, 129,  98
 149, 125,  94
 167, 145, 112
 156, 133,  98
 151, 126,  89
 152, 125,  88
 150, 125,  92
 159, 134,  98
 166, 144, 107
 152, 134, 105
 164, 142, 111
 160, 139, 107
 146, 125,  95
 154, 131,  96
 159, 137, 103
 160, 140, 106
 165, 146, 111
 160, 143, 115
 153, 132, 102
 144, 123,  94
 145, 126,  93
 144, 120,  89
 151, 126,  96
 156, 128,  92
 153, 130,  97
 145, 122,  90
 145, 119,  85
 144, 118,  80
 128, 104,  71
 132, 108,  73
 139, 116,  77
 151, 132,  89
 127, 110,  88
 140, 119,  94
 145, 121,  91
 143, 121,  92
 136, 114,  86
 143, 120,  88
 150, 124,  89
 151, 126,  92
 169, 144, 109
 154, 128,  92
 158, 130,  94
 158, 126,  89
 160, 132,  96
 148, 122,  90
 140, 117,  85
 156, 129,  91
 158, 134,  98
 152, 132, 102
 153, 129,  96
 155, 131,  95
 166, 145, 110
 160, 137, 102
 134, 105,  76
 143, 119,  89
 159, 133,  99
 147, 118,  86
 168, 143, 112
 157, 135, 103
 167, 144, 110
 157, 132,  96
 156, 132,  97
 159, 130,  95
 157, 129,  94
 144, 118,  87
 149, 123,  88
 149, 126,  93
 143, 119,  88
 158, 131,  95
 169, 141, 102
 145, 117,  86
 139, 112,  84
 150, 124,  92
 149, 124,  92
 152, 130,  99
 130, 104,  74
 141, 116,  84
 157, 135, 104
 151, 127,  95
 148, 122,  88
 148, 128,  96
 155, 135, 105
 137, 113,  83
 146, 120,  87
 141, 118,  86
 148, 127,  95
 145, 122,  88
 147, 124,  88
 153, 134,  99
 148, 130, 100
 164, 147, 111
 137, 116,  79
 147, 122,  80
 125, 106,  84
 152, 132, 105
 152, 128,  95
 141, 122,  94
 151, 129,  96
 152, 128,  97
 156, 129,  95
 148, 122,  91
 158, 131,  94
 146, 115,  76
 160, 136, 102
 164, 139, 103
 156, 131,  98
 144, 119,  90
 162, 136, 102
 155, 133, 100
 144, 121,  89
 153, 127,  91
 156, 130,  94
 158, 136, 101
 151, 129,  97
 158, 136, 103
 156, 131,  99
 160, 135, 101
 147, 123,  91
 151, 128, 100
 155, 129,  96
 149, 122,  90
 163, 139, 105
 169, 143, 106
 153, 126,  88
 158, 128,  89
 152, 126,  92
 155, 131,  99
 171, 147, 112
 141, 119,  87
 153, 126,  90
 151, 127,  93
 147, 118,  87
 155, 128,  98
 157, 133, 101
 144, 119,  85
 149, 125,  91
 158, 134, 100
 153, 129,  95
 146, 119,  80
 144, 121,  87
 138, 113,  85
 134, 109,  78
 138, 112,  82
 129, 104,  75
 142, 121,  89
 137, 116,  85
 140, 117,  87
 144, 123,  90
 147, 126,  94
 147, 125,  93
 145, 120,  85
 141, 112,  79
 138, 111,  79
 159, 136,  97
 155, 130,  91
 135, 110,  76
 150, 127,  96
 158, 130, 100
 153, 129,  94
 156, 132,  99
 156, 130,  96
 149, 123,  92
 153, 129,  99
 154, 128,  94
 154, 129,  96
 158, 129,  90
 150, 123,  87
 159, 135, 100
 150, 122,  85
 161, 138, 100
 155, 130,  95
 161, 136, 102
 158, 133,  99
 161, 135, 102
 149, 122,  88
 149, 123,  86
 153, 131,  97
 157, 135, 101
 166, 140, 105
 159, 131,  96
 152, 129,  97
 162, 138, 101
 161, 137, 102
 164, 143, 111
 152, 128,  96
 153, 127,  90
 140, 118,  89
 156, 134, 102
 163, 139, 102
 167, 142, 107
 167, 143, 109
 150, 126,  94
 159, 135, 102
 162, 136, 101
 145, 120,  85
 153, 130,  98
 137, 116,  86
 155, 132,  95
 158, 133,  98
 161, 143, 111
 144, 119,  87
 133, 107,  75
 148, 123,  91
 143, 121,  89
 135, 107,  76
 143, 118,  84
 150, 124,  90
 145, 122,  88
 159, 135, 101
 165, 142, 106
 149, 130,  92
 157, 131,  94
 157, 131,  95
 144, 118,  85
 154, 129,  98
 145, 119,  87
 154, 129,  94
 136, 110,  75
 148, 125,  94
 161, 138, 101
 159, 135,  97
 151, 127,  96
 160, 135, 102
 157, 133,  99
 165, 139, 105
 162, 136, 102
 148, 123,  86
 136, 109,  75
 145, 119,  86
 165, 138, 102
 150, 121,  83
 166, 142, 102
 166, 142, 106
 151, 127,  97
 159, 136, 108
 142, 118,  88
 164, 138, 101
 161, 137,  98
 166, 141, 103
 141, 114,  79
 148, 123,  90
 158, 129,  93
 136, 112,  83
 139, 113,  81
 146, 119,  81
 155, 130,  96
 137, 114,  88
 136, 113,  80
 138, 115,  86
 153, 128,  93
 147, 119,  85
 156, 128,  93
 154, 132,  99
 142, 119,  89
 156, 123,  83
 147, 116,  83
 141, 116,  84
 161, 136, 107
 154, 131, 102
 155, 132,  97
 163, 142, 112
 156, 137, 108
 143, 115,  81
 169, 141, 106
 141, 113,  83
 149, 124,  88
 164, 140, 104
 145, 124,  96
 145, 124,  94
 170, 146, 110
 154, 131,  99
 155, 134, 107
 137, 114,  85
 139, 114,  80
 156, 133,  99
 145, 122,  92
 152, 129,  98
 155, 131,  94
 147, 123,  91
 168, 143, 106
 174, 148, 108
